pl_name,pl_letter,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_trandep,pl_trandur,pl_ratror,pl_ratdor,pl_imppar,disc_year,discoverymethod,disc_facility,disc_telescope,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_met,st_rotp,st_spectype,sy_snum,sy_pnum,sy_mnum,sy_dist,ra,dec,rastr,decstr,glat,glon,x,y,z,cb_flag,pl_controv_flag,tran_flag,rv_flag,ttv_flag,sy_vmag,sy_kmag,sy_gaiamag,sy_tmag,tic_id,gaia_dr3_id,star_class,planet_type,planet_subtype,habitability_score,distance_display,period_display,mass_display,radius_display,x_pc,y_pc,z_pc,distance_ly,is_habitable_zone,is_earth_like
Kepler-495 c,c,Kepler-495,1.21936414,0.10878457,1.98,0.00622,M-R relationship,6.0,1000.0,108.13,5.896609783,0.0614,0.0,89.84,0.0144,3.154,0.01076,14.439,0.1272,2021,Transit,Kepler,0.95 m Kepler Telescope,5392.0,1.087,0.888,-0.2375,4.314,0.6,1.63771,0.18,,,1,2,0,658.924,285.9307362,39.0981201,19h03m43.38s,+39d05m53.23s,14.51069,69.75527,0.2130110973103718,-0.7462616265074842,0.6306503446641692,0,0,1,0,0,14.942,12.81,14.6074,14.0672,TIC 120692092,Gaia DR3 2100073393808483328,,Earth-sized,Rocky,30.0,2.1k light-years,5.9 days,2.0 Earth masses,1.22 Earth radii,140.35812428413942,-491.7296959848175,415.55064770749306,2149.1201614399997,False,True
Kepler-501 c,c,Kepler-501,1.68119739,0.14998664,3.47,0.0109,M-R relationship,4.01,1304.0,683.84,3.622760057,0.0467,0.0,89.96,0.01806,2.7868,0.012192,10.069,0.75,2021,Transit,Kepler,0.95 m Kepler Telescope,5794.0,1.216,1.032,0.21635,4.282,0.3,1.47144,0.14,,,1,2,0,1125.24,297.2014919,41.7301534,19h48m48.36s,+41d43m48.55s,7.98928,76.03582,0.3411439737662999,-0.6637518695390863,0.6656232003515996,0,0,1,0,0,14.886,13.34,14.7303,14.2669,TIC 169176340,Gaia DR3 2076943796633684352,,Super-Earth,Lava World,20.0,3.7k light-years,3.6 days,3.5 Earth masses,1.68 Earth radii,383.8688450407913,-746.8801536801615,748.985849963634,3670.0377743999998,False,False
Kepler-1312 c,c,Kepler-1312,1.02732734,0.09165216,1.07,0.00337,M-R relationship,5.42,1659.0,1770.2,1.116119981,0.02103,0.0,82.64,0.01092,1.3577,0.009827,6.36,0.0569,2021,Transit,Kepler,0.95 m Kepler Telescope,5721.0,0.905,0.983,-0.09874,4.517,0.89,1.96176,0.02,,,1,2,0,299.104,292.9712801,41.0357494,19h31m53.11s,+41d02m08.70s,10.45737,73.89554,0.2943804467908625,-0.6944845401146161,0.6565297983252567,0,0,1,0,0,12.491,10.907,12.3778,11.9163,TIC 137899873,Gaia DR3 2053550106200274688,,Earth-sized,Lava World,30.0,976 light-years,1.1 days,1.1 Earth masses,1.03 Earth radii,88.05036915693414,-207.72310388644215,196.37068879827757,975.5456422399999,False,True
Kepler-1950 b,b,Kepler-1950,1.52696349,0.13622679,2.95,0.00927,M-R relationship,4.55,752.0,75.83,10.77690029,0.0871,0.0,89.87,0.01583,2.616,0.01139,31.79,0.069,2021,Transit,Kepler,0.95 m Kepler Telescope,5455.0,0.852,0.759,-0.22345,4.457,,5.23259,-0.34,,,1,1,0,697.253,287.0874563,42.6686537,19h08m20.99s,+42d40m07.15s,15.1176,73.50551,0.2160497244705788,-0.7028280646696384,0.6777574994560499,0,0,1,0,0,14.845,12.679,14.5569,14.0116,TIC 158388625,Gaia DR3 2105573945541164544,,Super-Earth,Super-Earth,20.0,2.3k light-years,10.8 days,3.0 Earth masses,1.53 Earth radii,150.64131853628447,-490.04897657509946,472.5684497682292,2274.13249468,False,False
Kepler-1951 b,b,Kepler-1951,2.32107188,0.20707252,6.0,0.0189,M-R relationship,2.64,728.0,66.27,20.65780067,0.1435,0.0,89.39,0.00982,8.232,0.008956,17.79,0.188,2021,Transit,Kepler,0.95 m Kepler Telescope,5468.0,1.306,0.923,0.50112,4.171,,0.24955,0.14,,,1,1,0,1277.32,290.4999139,40.2877161,19h21m59.98s,+40d17m15.78s,11.80543,72.36456,0.2671395612906728,-0.7145004856861653,0.6466262527516656,0,0,1,0,0,14.367,12.389,14.1599,13.6261,TIC 122446866,Gaia DR3 2101129032350251904,,Sub-Neptune,Mini-Neptune,10.0,4.2k light-years,20.7 days,6.0 Earth masses,2.3 Earth radii,341.22270442780217,-912.6457603766527,825.9486451647575,4166.0558192,False,False
Kepler-607 c,c,Kepler-607,2.76001201,0.2462322,8.05,0.0253,M-R relationship,2.1,473.0,8.8,39.67679977,0.21507,0.0,89.24,0.06112,5.04,0.023657,20.7,0.9403,2021,Transit,Kepler,0.95 m Kepler Telescope,5244.0,0.888,0.808,-0.38192,4.449,7.76,1.335,0.02,,,1,2,0,519.122,291.0571451,44.632306,19h24m13.71s,+44d37m56.30s,13.29978,76.56528,0.2556878831949497,-0.6641091786225881,0.7025544144452565,0,0,1,0,0,14.672,12.426,14.3746,13.7946,TIC 159579593,Gaia DR3 2126248505058677120,,Sub-Neptune,Mini-Neptune,10.0,1.7k light-years,1.3 months,8.1 Earth masses,2.8 Earth radii,132.73320529992867,-344.75368502491517,364.71145273565037,1693.1475503199997,False,False
Kepler-1721 b,b,Kepler-1721,3.11856756,0.27822044,9.9,0.0312,M-R relationship,1.79,924.0,172.6,4.592380047,0.0519,0.0,89.93,0.10277,2.2748,0.028819,15.8754,0.02,2021,Transit,Kepler,0.95 m Kepler Telescope,5351.0,0.796,0.89,-0.40675,4.582,0.7,3.58883,-0.04,,,1,1,0,641.374,283.5441984,45.2256548,18h54m10.61s,+45d13m32.36s,18.43362,74.99943,0.1649476575023629,-0.684729064504853,0.7098861729226676,0,0,1,0,1,15.085,13.016,14.8762,14.324,TIC 164527535,Gaia DR3 2106989772919325440,,Sub-Neptune,Mini-Neptune,0.0,2.1k light-years,4.6 days,9.9 Earth masses,3.1 Earth radii,105.7931388829205,-439.16741901773565,455.30253427210306,2091.8797834399998,False,False
WASP-28 b,b,WASP-28,13.66374747,1.219,282.54945382,0.889,Mass,0.651163,1456.0,695.65,3.40883495,0.0442,0.0,88.514,1.3396,3.2388,0.116,8.62,0.228,2014,Transit,SuperWASP,Canon 200mm f/1.8L,6084.0,1.083,0.993,0.15,4.37,5.5,1.101779,-0.2,,F8,1,1,0,348.494,353.6162694,-1.5799849,23h34m27.90s,-01d34m47.95s,-58.48637,83.8604,0.9934216964789332,-0.1111444704254328,-0.027572443830179,0,0,1,1,0,12.274,10.732,12.0286,11.6238,TIC 398572544,Gaia DR3 2641087471777046016,F,Gas Giant,Hot Jupiter,15.0,1.1k light-years,3.4 days,283 Earth masses,1.2 Jupiter radii,346.2015006927294,-38.73318107644078,-9.608831240154402,1136.63409064,False,False
Kepler-1869 b,b,Kepler-1869,1.11955354,0.09988005,1.46,0.00458,M-R relationship,5.72,865.0,138.5,8.167360306,0.07976,0.0,86.03,0.01054,3.286,0.009413,6.0,0.2789,2021,Transit,Kepler,0.95 m Kepler Telescope,5808.0,0.902,0.987,-0.05012,4.522,1.29,0.43756,-0.06,,,1,2,0,113.025,292.6149958,42.7643438,19h30m27.60s,+42d45m51.64s,11.47224,75.34626,0.2823087737624535,-0.6777032716546163,0.6789845593571102,0,0,1,0,0,10.31,8.693,10.0911,9.6523,TIC 63368895,Gaia DR3 2125751461382627840,,Earth-sized,Rocky,30.0,369 light-years,8.2 days,1.5 Earth masses,1.12 Earth radii,31.90794915450131,-76.59741227876302,76.74222982133739,368.637819,False,True
Kepler-1315 c,c,Kepler-1315,1.84398883,0.16450995,4.06,0.0128,M-R relationship,3.56,777.0,57.6,6.566060066,0.0635,0.0,88.08,0.04024,1.7315,0.018384,20.49,0.3312,2021,Transit,Kepler,0.95 m Kepler Telescope,4818.0,0.856,0.809,-0.62783,4.481,1.62,3.77376,0.56,,,1,2,0,480.869,295.8215678,46.0530562,19h43m17.18s,+46d03m11.00s,10.93871,79.39487,0.3022820605696047,-0.6247002454619804,0.7199827492221847,0,0,1,0,0,15.133,12.684,14.9517,14.273,TIC 271881331,Gaia DR3 2080388566557873280,,Super-Earth,Super-Earth,20.0,1.6k light-years,6.6 days,4.1 Earth masses,1.84 Earth radii,145.35807218404526,-300.3989823350571,346.2173846357228,1568.38309564,False,False
