pl_name,pl_letter,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_trandep,pl_trandur,pl_ratror,pl_ratdor,pl_imppar,disc_year,discoverymethod,disc_facility,disc_telescope,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_met,st_rotp,st_spectype,sy_snum,sy_pnum,sy_mnum,sy_dist,ra,dec,rastr,decstr,glat,glon,x,y,z,cb_flag,pl_controv_flag,tran_flag,rv_flag,ttv_flag,sy_vmag,sy_kmag,sy_gaiamag,sy_tmag,tic_id,gaia_dr3_id,star_class,planet_type,planet_subtype,habitability_score,distance_display,period_display,mass_display,radius_display,x_pc,y_pc,z_pc,distance_ly,is_habitable_zone,is_earth_like
Kepler-1167 b,b,Kepler-1167,1.71,0.15255598,3.57,0.0112,M-R relationship,3.92,1419.0,1039.697,1.003933739,0.0175,0.0,89.76,0.04911,1.4562,0.02103,5.477,0.023,2016,Transit,Kepler,0.95 m Kepler Telescope,4971.0,0.75,0.79,-0.53589,4.6,4.27,2.85817,-0.05,,,1,1,0,820.905,298.3026595,47.6939654,19h53m12.64s,+47d41m38.28s,10.23657,81.68674,0.3191317354863568,-0.5926260507254014,0.7395602067493084,0,0,1,0,0,16.047,13.663,15.9292,15.2776,TIC 273875149,Gaia DR3 2086441721667415424,,Super-Earth,Lava World,20.0,2.7k light-years,1.0 days,3.6 Earth masses,1.71 Earth radii,261.9768373194277,-486.48968817073563,607.108671521541,2677.4309117999996,False,False
Kepler-1740 b,b,Kepler-1740,3.32321414,0.29647782,11.0,0.0347,M-R relationship,1.65,858.0,127.95,8.172400475,0.0779,0.0,82.8,0.08643,3.902,0.0337,6.96,0.942,2021,Transit,Kepler,0.95 m Kepler Telescope,5705.0,0.905,0.943,-0.07942,4.499,,0.11427,-0.06,,,1,1,0,1061.77,293.873663,38.9224548,19h35m29.68s,+38d55m20.84s,8.87006,72.31602,0.3148719438364997,-0.711431630967978,0.6282680108384217,0,0,1,0,0,15.454,13.695,15.2863,14.7909,TIC 138479461,Gaia DR3 2052381737659167488,,Sub-Neptune,Mini-Neptune,0.0,3.5k light-years,8.2 days,11 Earth masses,3.3 Earth radii,334.32158380728026,-755.37676281287,667.076125867911,3463.0265612,False,False
Kepler-1581 b,b,Kepler-1581,0.8,0.07137122,0.437,0.00137,M-R relationship,4.69,1108.0,470.862,6.28385491,0.06865,0.0,89.49,0.00357,4.124,0.005669,11.49,0.101,2016,Transit,Kepler,0.95 m Kepler Telescope,6022.0,1.23,1.12,0.39085,4.31,4.17,0.43,0.07,,,1,1,0,493.175,287.3713199,39.6036225,19h09m29.12s,+39d36m13.04s,13.69395,70.69427,0.2300347881601947,-0.7353315905824944,0.6374727038293586,0,0,1,0,0,12.442,11.025,12.3525,11.9361,TIC 121215710,Gaia DR3 2100418850915010432,,Sub-Earth,Lava World,30.0,1.6k light-years,6.3 days,0.4 Earth masses,0.80 Earth radii,113.44740665090403,-362.6471571855217,314.38560071104394,1608.519853,False,True
Kepler-644 b,b,Kepler-644,3.15,0.28102418,10.1,0.0317,M-R relationship,1.78,1655.0,2381.77,3.173917103,0.04641,0.0,78.65,0.0303,3.5066,0.016354,7.03991,0.629,2016,Transit,Kepler,0.95 m Kepler Telescope,6747.0,1.81,1.49,0.71041,4.09,1.62,0.29,0.08,,,1,1,0,1318.05,295.4757022,43.4931119,19h41m54.17s,+43d29m35.20s,9.95162,76.98011,0.3120396324276108,-0.654919308331335,0.688267366195178,0,0,1,0,0,14.031,12.574,13.9601,13.5456,TIC 271669616,Gaia DR3 2078049767888231936,,Sub-Neptune,Lava World,0.0,4.3k light-years,3.2 days,10 Earth masses,3.1 Earth radii,411.2838375212124,-863.2163943461161,907.1708020135544,4298.899157999999,False,False
Kepler-1752 b,b,Kepler-1752,4.54060463,0.40508631,18.7,0.059,M-R relationship,1.1,419.0,7.29,56.35850143,0.2698,0.0,88.46,0.25596,6.927,0.056204,33.7,0.906,2021,Transit,Kepler,0.95 m Kepler Telescope,5446.0,0.821,0.824,-0.39819,4.525,7.2,0.22873,-0.2,,,1,1,0,962.888,290.8541401,51.2227435,19h23m24.99s,+51d13m21.88s,16.13825,82.71749,0.2229546340491813,-0.5852656767700424,0.7795866332556631,0,0,1,0,1,16.0249,13.999,15.796,15.2363,TIC 417655835,Gaia DR3 2136207095405014912,,Neptune-like,Ice Giant,0.0,3.1k light-years,1.9 months,19 Earth masses,4.5 Earth radii,214.6803416703481,-563.5452969737526,750.654614122279,3140.51698528,False,False
Kepler-280 c,c,Kepler-280,2.01,0.179,4.7,0.0148,M-R relationship,3.18,1088.0,279.085,4.807091,0.056,0.0,86.65,0.04505,0.901,0.0197,13.5,0.68,2014,Transit,Kepler,0.95 m Kepler Telescope,5744.0,0.886,0.962,-0.06437,4.537,5.62,1.08,0.1213,,,1,2,0,780.361,291.3905325,42.1804735,19h25m33.73s,+42d10m49.70s,12.02527,74.40417,0.2702719027963413,-0.6899881972066084,0.6714680828411872,0,0,1,0,0,14.35,12.844,14.4574,13.9604,TIC 159716174,Gaia DR3 2101761079737564672,,Sub-Neptune,Lava World,10.0,2.5k light-years,4.8 days,4.7 Earth masses,2.0 Earth radii,210.90965233805568,-538.4398795603462,523.9875045940316,2545.1942231599996,False,False
Kepler-1208 b,b,Kepler-1208,2.32,0.20697654,5.99,0.0189,M-R relationship,2.64,665.0,37.664,11.08507637,0.0901,0.0,88.44,0.07718,1.708,0.027998,29.1,0.1249,2016,Transit,Kepler,0.95 m Kepler Telescope,5001.0,0.76,0.8,-0.55349,4.59,4.47,19.93868,-0.03,,,1,1,0,825.176,291.8812445,44.5557587,19h27m31.50s,+44d33m20.73s,12.73691,76.75288,0.2655627229833081,-0.6612333950908906,0.701603048296018,0,0,1,0,0,16.256,13.788,15.9464,15.3121,TIC 63010574,Gaia DR3 2126563450717837056,,Sub-Neptune,Mini-Neptune,10.0,2.7k light-years,11.1 days,6.0 Earth masses,2.3 Earth radii,219.13598550047425,-545.6339280275208,578.945996980715,2691.36103456,False,False
Kepler-263 c,c,Kepler-263,2.47,0.22,6.66,0.021,M-R relationship,2.43,386.0,5.994,47.332773,0.242,0.0,89.8,0.09755,3.069,0.028129,129.8,0.06,2014,Transit,Kepler,0.95 m Kepler Telescope,5265.0,0.785,0.793,-0.45614,4.576,2.24,2.0,-0.0314,,,1,2,0,754.747,292.4698022,37.5677941,19h29m52.75s,+37d34m04.06s,9.22104,70.58352,0.3029413181446055,-0.7324566924798346,0.6096997223242848,0,0,1,0,0,15.435,13.548,15.4167,14.8343,TIC 137637249,Gaia DR3 2051832634677771008,,Sub-Neptune,Mini-Neptune,20.0,2.5k light-years,1.6 months,6.7 Earth masses,2.5 Earth radii,228.64405104568655,-552.8194912790776,460.16903632508695,2461.6526253199995,False,False
HD 136352 b,b,HD 136352,1.664,0.14845239,4.72,0.01485078,Mass,5.623888,905.0,111.6,11.57797,0.0964,0.0,88.49,0.0208,3.935,0.01442,19.6,0.52,2019,Radial Velocity,La Silla Observatory,3.6 m ESO Telescope,5664.0,1.058,0.87,0.0162,4.39,12.3,1.034813,-0.24,23.8,G4 V,1,3,0,14.682,230.4401147,-48.3188174,15h21m45.63s,-48d19m07.74s,7.38103,327.07069,-0.4235186197321421,-0.5126764738910851,-0.7468566206835048,0,0,1,1,0,5.65,4.159,5.48495,5.0494,TIC 136916387,Gaia DR3 5902750168276592256,G,Super-Earth,Super-Earth,40.0,47.9 light-years,11.6 days,4.7 Earth masses,1.66 Earth radii,-6.21810037490731,-7.5271159896689115,-10.965348904875217,47.88622392,False,False
Kepler-1101 b,b,Kepler-1101,2.47,0.22035864,6.66,0.021,M-R relationship,2.43,393.0,3.577,81.3151059,0.3483,0.0,89.99,0.07817,5.762,0.025338,109.53,0.1394,2016,Transit,Kepler,0.95 m Kepler Telescope,5614.0,0.91,0.94,-0.35135,4.5,4.27,3.7581,-0.04,,,1,1,0,742.473,294.5693544,45.6711623,19h38m16.65s,+45d40m16.18s,11.53493,78.63822,0.2905469129833267,-0.6355073335166895,0.7153411217051387,0,0,1,0,0,15.156,13.314,15.0958,14.5657,TIC 271163971,Gaia DR3 2080048680026646912,,Sub-Neptune,Mini-Neptune,25.0,2.4k light-years,2.7 months,6.7 Earth masses,2.5 Earth radii,215.7232381234695,-471.847036438137,531.1214686557795,2421.62023788,False,False
HD 168746 b,b,HD 168746,11.1,0.993,85.8141,0.27,Msini,0.345,900.0,,6.404,0.07,0.11,,,,,,,2002,Radial Velocity,La Silla Observatory,1.2 m Leonhard Euler Telescope,5570.0,1.09,1.07,0.04139,4.39,8.0,1.089734,-0.08,,G5,1,1,0,41.5681,275.4573269,-11.9229757,18h21m49.76s,-11d55m22.71s,1.03031,18.96358,0.0930526078581725,-0.9739913124205531,-0.2065965524883731,0,0,0,1,0,7.95,6.253,7.77169,7.3158,TIC 18097734,Gaia DR3 4153637759337630720,G,Gas Giant,Jovian,20.0,136 light-years,6.4 days,86 Earth masses,11.1 Earth radii,3.8680201087093002,-40.48696827382879,-8.587826153491942,135.576852236,False,False
HAT-P-7 b,b,HAT-P-7,16.92559,1.51,584.8072,1.84,Mass,0.712,2733.0,4353.408,2.20474,0.03809,0.0,83.11,0.6,3.88216,0.075408,4.13,0.496,2008,Transit,HATNet,Canon 200mm f/1.8L,6389.0,2.0,1.56,0.8142,4.07,1.78,0.27,0.26,,,2,1,0,341.079,292.24719,47.9695429,19h28m59.33s,+47d58m10.35s,13.97537,80.03294,0.2534845324922821,-0.6196854478150265,0.7427890262742572,0,0,1,1,0,10.481,9.334,10.3654,10.0274,TIC 424865156,Gaia DR3 2129256395211984000,,Gas Giant,Hot Jupiter,0.0,1.1k light-years,2.2 days,1.8 Jupiter masses,1.5 Jupiter radii,86.45825085793508,-211.36169285530144,253.34973829259738,1112.44962324,False,False
Kepler-560 b,b,Kepler-560,1.72,0.15344812,3.61,0.0113,M-R relationship,3.9,298.0,2.46,18.47764449,0.0899,0.17,89.606,0.2779,1.8777,0.047899,78.71,0.506,2016,Transit,Kepler,0.95 m Kepler Telescope,3556.0,0.33,0.34,-1.717,4.94,4.07,8.386084,-0.39,50.47,,2,1,0,109.308,300.2066441,45.0182402,20h00m49.59s,+45d01m05.66s,7.75597,80.01329,0.3556464063058055,-0.610898749513414,0.7073318538880549,0,0,1,0,1,15.66,11.455,14.7511,13.6349,TIC 239275865,Gaia DR3 2082162147537254400,,Super-Earth,Super-Earth,50.7,357 light-years,18.5 days,3.6 Earth masses,1.72 Earth radii,38.874997380474994,-66.77612051181227,77.3170302847955,356.51460048,True,False
Kepler-150 d,d,Kepler-150,2.79,0.249,8.2,0.0258,M-R relationship,2.07,734.0,65.142,12.56093,0.104,0.0,89.95,0.09669,3.764,0.028343,26.188,0.12,2014,Transit,Kepler,0.95 m Kepler Telescope,5560.0,0.939,0.956,-0.16141,4.466,1.74,1.39,0.12,,,1,5,0,891.092,288.2341025,40.520897,19h12m56.18s,+40d31m15.23s,13.46754,71.83343,0.2378571133884705,-0.7219979045855393,0.6497253414979248,0,0,1,0,0,15.161,13.367,14.9743,14.4746,TIC 121598758,Gaia DR3 2102063136195478656,,Sub-Neptune,Mini-Neptune,10.0,2.9k light-years,12.6 days,8.2 Earth masses,2.8 Earth radii,211.95257088355893,-643.3665567929373,578.9650540060688,2906.35002352,False,False
Kepler-498 b,b,Kepler-498,3.03,0.27031849,9.43,0.0297,M-R relationship,1.86,931.0,202.775,9.61375356,0.0897,0.0,87.37,0.07979,4.7305,0.028574,10.79,0.07,2016,Transit,Kepler,0.95 m Kepler Telescope,5744.0,0.96,0.98,0.17242,4.47,3.89,0.46378,-0.04,,,1,1,0,938.844,290.3581592,44.5187225,19h21m25.96s,+44d31m07.40s,13.70333,76.2434,0.2480512203041993,-0.6684834133943032,0.7011422952028343,0,0,1,0,1,14.349,12.755,14.2463,13.786,TIC 159384648,Gaia DR3 2126984220073270784,,Sub-Neptune,Mini-Neptune,0.0,3.1k light-years,9.6 days,9.4 Earth masses,3.0 Earth radii,232.8813998752757,-627.6016417647612,658.2632369974099,3062.09603664,False,False
Kepler-817 b,b,Kepler-817,9.03,0.80560264,60.2,0.189,M-R relationship,0.449,1124.0,550.203,3.990106229,0.0493,0.0,87.09,0.61549,2.4269,0.080475,9.6,0.733,2016,Transit,Kepler,0.95 m Kepler Telescope,5861.0,1.03,1.03,0.08609,4.42,3.55,1.78404,0.02,,,1,1,0,1484.46,296.0818498,39.161614,19h44m19.64s,+39d09m41.81s,7.47643,73.35435,0.3408940523941436,-0.6964096448524558,0.6315099774340664,0,0,1,0,0,15.967,13.954,15.5969,15.074,TIC 184299435,Gaia DR3 2073195870740245504,,Neptune-like,Hot Neptune,0.0,4.8k light-years,4.0 days,60 Earth masses,9.0 Earth radii,506.04358501701046,-1033.7922613976766,937.4513011017743,4841.6553576,False,False
Kepler-937 b,b,Kepler-937,3.72,0.33187617,13.4,0.042,M-R relationship,1.43,495.0,20.627,67.668827,0.3214,0.0,89.61,0.09611,9.623,0.02775,34.1,0.783,2016,Transit,Kepler,0.95 m Kepler Telescope,6095.0,1.22,1.15,0.28097,4.32,3.24,0.65357,0.08,,,1,2,0,1571.46,294.1688142,46.7146161,19h36m40.52s,+46d42m52.62s,12.25527,79.46009,0.2807161944324093,-0.6255322415473908,0.7279476855984106,0,0,1,0,0,15.405,13.681,15.1944,14.7048,TIC 270854155,Gaia DR3 2128152897857003264,,Sub-Neptune,Mini-Neptune,0.0,5.1k light-years,2.3 months,13 Earth masses,3.7 Earth radii,441.13427090275394,-982.9988963020628,1143.9406700104785,5125.4110776,False,False
K2-10 b,b,K2-10,3.773,0.33660509,25.2,0.07928807,Mass,2.36,649.0,42.1,19.30553,0.137,0.31,89.50414,0.1691,3.8064,0.037959,28.7,0.4,2015,Transit,K2,0.95 m Kepler Telescope,5533.0,0.956,0.88,-0.10088,4.47,,1.508035,-0.07,,F9,1,1,0,272.36,172.1216476,1.6906217,11h28m29.20s,+01d41m26.24s,57.71659,261.42793,-0.9901301332967164,0.1370106337234942,0.0295026335182643,0,0,1,1,0,12.429,10.645,12.2156,11.7442,TIC 363573185,Gaia DR3 3798690151434945280,F,Sub-Neptune,Mini-Neptune,15.0,888 light-years,19.3 days,25 Earth masses,3.8 Earth radii,-269.67184310469366,37.31621620093088,8.035337265034466,888.3184816,False,False
Kepler-571 b,b,Kepler-571,2.64,0.23552502,7.46,0.0235,M-R relationship,2.23,978.0,219.036,4.798599388,0.0546,0.0,86.64,0.08174,2.9979,0.026937,11.97,0.3144,2016,Transit,Kepler,0.95 m Kepler Telescope,5527.0,0.9,0.93,-0.22253,4.51,4.68,1.40966,0.01,,,1,1,0,723.875,286.5510448,49.418731,19h06m12.25s,+49d25m07.43s,18.00113,79.88566,0.1853149696189548,-0.6235722820923506,0.7594840163171728,0,0,1,0,0,14.951,12.986,14.6536,14.1499,TIC 243271972,Gaia DR3 2132069598789224960,,Sub-Neptune,Mini-Neptune,10.0,2.4k light-years,4.8 days,7.5 Earth masses,2.6 Earth radii,134.1448736329209,-451.3883856996003,549.7714923115934,2360.961745,False,False
Kepler-1458 b,b,Kepler-1458,2.76,0.24623071,8.05,0.0253,M-R relationship,2.1,493.0,8.293,47.9872764,0.24869,0.0,88.67,0.09128,4.756,0.027347,79.09,0.0532,2016,Transit,Kepler,0.95 m Kepler Telescope,5653.0,0.94,0.96,-0.24032,4.48,4.17,1.64,0.02,,,1,1,0,544.45,283.2115971,41.0380135,18h52m50.78s,+41d02m16.85s,17.17283,70.79731,0.1723877907984166,-0.7343105167531702,0.6565596047346604,0,0,1,0,0,14.434,12.509,14.1996,13.6833,TIC 258349285,Gaia DR3 2104354690224334592,,Sub-Neptune,Mini-Neptune,10.0,1.8k light-years,1.6 months,8.1 Earth masses,2.8 Earth radii,93.85653270019792,-399.7953608462635,357.4638767977859,1775.7563420000001,False,False
K2-335 b,b,K2-335,2.21,0.19716333,5.52,0.0174,M-R relationship,2.81,949.0,,12.283211,,,88.50662,0.0314,4.31,0.0151,20.3,0.4,2021,Transit,K2,0.95 m Kepler Telescope,6222.0,1.33,1.23,0.39509,4.28,,0.723376,0.1,,,1,1,0,557.993,129.3896679,16.5220648,08h37m33.52s,+16d31m19.43s,30.71655,209.07458,-0.6083890707087511,0.7409373495160829,0.2843845683827167,0,0,1,0,0,12.556,11.281,12.4741,12.1033,TIC 21247758,Gaia DR3 658060049982487040,,Sub-Neptune,Mini-Neptune,10.0,1.8k light-years,12.3 days,5.5 Earth masses,2.2 Earth radii,-339.4768427319882,413.4378544685277,158.68459846557724,1819.92764908,False,False
Kepler-1600 c,c,Kepler-1600,1.94206512,0.17325974,4.43,0.0139,M-R relationship,3.32,786.0,84.7,7.298049927,0.06961,0.0,88.63,0.03705,3.024,0.017565,14.58,0.411,2021,Transit,Kepler,0.95 m Kepler Telescope,5119.0,0.834,0.818,-0.33945,4.508,6.92,1.80082,0.1,,,1,2,0,1030.81,291.3993802,38.7877563,19h25m35.85s,+38d47m15.92s,10.52293,71.30223,0.284403330689196,-0.7257348738857134,0.6264372580865377,0,0,1,0,0,16.076,13.896,15.8138,15.2155,TIC 137151626,Gaia DR3 2052754540819149568,,Super-Earth,Super-Earth,20.0,3.4k light-years,7.3 days,4.4 Earth masses,1.94 Earth radii,293.1657973077301,-748.0947653501322,645.7377900081839,3362.0486635999996,False,False
HIP 41378 f,f,HIP 41378,9.2,0.82077044,12.0,0.03775622,Mass,0.09,294.0,1.24,542.07975,,,89.98,0.5,18.998,0.06602,,0.227,2016,Transit,K2,0.95 m Kepler Telescope,6320.0,1.273,1.16,0.39646,4.294,4.279,0.68,-0.1,,F6,1,6,0,106.289,126.6158279,10.0803708,08h26m27.80s,+10d04m49.33s,25.64577,214.5263,-0.5872394034614804,0.7902623497236936,0.1750294307577763,0,0,1,1,0,8.93,7.722,8.80998,8.4642,TIC 366443426,Gaia DR3 600698184764497664,F,Neptune-like,Ice Giant,52.0,347 light-years,1.5 years,12 Earth masses,9.2 Earth radii,-62.41708895451729,83.99619488978166,18.603703165813286,346.66795084,True,False
Kepler-221 d,d,Kepler-221,2.73,0.244,3.61,0.01135833,Mass,0.9,712.0,56.293,10.04156,0.087,0.0,87.8,0.11553,2.53,0.030708,30.73,0.36,2014,Transit,Kepler,0.95 m Kepler Telescope,5243.0,0.821,0.854,-0.40429,4.543,1.78,1.8,0.0616,,,1,4,0,385.231,296.6547477,46.8352242,19h46m37.14s,+46d50m06.81s,10.80167,80.37293,0.3068958113985434,-0.6113968923096404,0.7293893343202541,0,0,1,0,0,13.97,11.9,13.7486,13.1969,TIC 272601375,Gaia DR3 2080344586094498432,,Sub-Neptune,Mini-Neptune,10.0,1.3k light-years,10.0 days,3.6 Earth masses,2.7 Earth radii,118.22578032087226,-235.5290362213351,280.9833826495258,1256.45402036,False,False
Kepler-626 b,b,Kepler-626,2.29,0.20430012,5.86,0.0184,M-R relationship,2.68,784.0,69.795,14.48585199,0.10913,0.0,86.48,0.04571,2.7143,0.019745,41.5749,0.0151,2016,Transit,Kepler,0.95 m Kepler Telescope,5813.0,1.05,1.01,-0.04194,4.4,5.37,0.93,0.01,,,1,1,0,635.643,288.6986828,39.7082044,19h14m47.68s,+39d42m29.54s,12.80662,71.22602,0.2466334116564437,-0.7287021898897362,0.6388779842071614,0,0,1,0,0,14.086,12.388,13.9435,13.4832,TIC 121734202,Gaia DR3 2099728391973441920,,Sub-Neptune,Mini-Neptune,10.0,2.1k light-years,14.5 days,5.9 Earth masses,2.3 Earth radii,156.77080168553684,-463.19444608808163,406.0983185153927,2073.18778308,False,False
K2-39 b,b,K2-39,6.27704,0.56,28.6047,0.09,Mass,0.93,1670.0,1356.0,4.60543,0.05708,0.0,80.39,0.037,8.184,0.01925,3.41,0.57,2016,Transit,K2,0.95 m Kepler Telescope,4881.0,2.97,0.66,0.67409,3.44,6.7,0.04,0.32,,,1,1,0,307.47,338.3682095,-9.0229405,22h33m28.37s,-09d01m22.59s,-52.74736,55.42682,0.9180692175727094,-0.364078687889929,-0.1568299103161788,0,0,1,1,0,10.831,8.516,10.5959,9.9735,TIC 250977648,Gaia DR3 2609222216055014144,,Neptune-like,Hot Neptune,0.0,1.0k light-years,4.6 days,29 Earth masses,6.3 Earth radii,282.278742327081,-111.94327416551647,-48.2204925249155,1002.8318532000001,False,False
Kepler-1549 b,b,Kepler-1549,2.57,0.22928004,7.13,0.0224,M-R relationship,2.31,286.0,1.184,214.886545,0.6687,0.0,89.99,0.07592,10.11,0.028331,166.95,0.0171,2016,Transit,Kepler,0.95 m Kepler Telescope,5324.0,0.84,0.88,-0.27333,4.54,4.79,1.90642,0.02,,,1,1,0,803.052,286.0524399,39.0960281,19h04m12.59s,+39d05m45.70s,14.42317,69.79203,0.2146021395611743,-0.7458296081518299,0.6306220082583972,0,0,1,0,0,15.353,13.271,15.1516,14.5675,TIC 120692095,Gaia DR3 2100070958564495488,,Sub-Neptune,Mini-Neptune,49.7,2.6k light-years,7.2 months,7.1 Earth masses,2.6 Earth radii,172.33667737888015,-598.9399584855433,506.4222649759224,2619.20228112,True,False
K2-62 c,c,K2-62,1.99,0.17753621,4.62,0.0145,M-R relationship,3.22,495.0,14.3,16.19697,0.1148,,89.60532,0.0828,1.29,0.0269,76.726395,0.22,2016,Transit,K2,0.95 m Kepler Telescope,4455.0,0.696,0.67,-0.72658,4.57,,3.006962,-0.1,,,1,2,0,112.467,334.3645089,-12.1874776,22h17m27.48s,-12d11m14.92s,-50.99807,47.74962,0.8812452902277939,-0.4228933816710094,-0.211111170216522,0,0,1,0,0,12.391,9.688,12.0433,11.3633,TIC 434094657,Gaia DR3 2612830229101544704,,Super-Earth,Super-Earth,20.0,367 light-years,16.2 days,4.6 Earth masses,1.99 Earth radii,99.11101405604929,-47.561549956393414,-23.74303998074158,366.81786852,False,False
Kepler-1149 b,b,Kepler-1149,1.44,0.1284682,2.67,0.00839,M-R relationship,4.91,1128.0,653.831,3.73089898,0.0473,0.0,81.98,0.01912,2.807,0.013317,4.41,0.909,2016,Transit,Kepler,0.95 m Kepler Telescope,5833.0,1.01,1.02,0.16546,4.43,3.98,1.08184,0.02,,,1,1,0,1217.73,294.1891824,45.1515263,19h36m45.40s,+45d09m05.49s,11.53556,78.04201,0.2889703185717274,-0.6433129366625235,0.7089743440401735,0,0,1,0,0,15.146,13.301,14.9307,14.4314,TIC 270857274,Gaia DR3 2079920140245373184,,Super-Earth,Lava World,30.0,4.0k light-years,3.7 days,2.7 Earth masses,1.44 Earth radii,351.8878260343496,-783.3814623620548,863.3393279680404,3971.6994588,False,False
Kepler-1288 b,b,Kepler-1288,1.12,0.09991971,1.46,0.00459,M-R relationship,5.71,2017.0,1342.5,2.76122421,0.04135,0.0,87.58,0.00678,3.662,0.007724,2.56,0.908,2016,Transit,Kepler,0.95 m Kepler Telescope,6132.0,1.29,1.2,0.30207,4.29,2.88,0.65,0.14,,,1,1,0,814.078,285.7135,41.6058799,19h02m51.24s,+41d36m21.17s,15.64284,72.07908,0.2025056596386794,-0.7197857591058489,0.6640029508991059,0,0,1,0,0,13.199,11.959,13.1774,12.799,TIC 120577770,Gaia DR3 2103960721465412864,,Earth-sized,Lava World,30.0,2.7k light-years,2.8 days,1.5 Earth masses,1.12 Earth radii,164.85540238733682,-585.9617512013712,540.5501942620423,2655.1642416799996,False,True
Kepler-128 b,b,Kepler-128,1.421,0.12677335,3.79,0.01192467,Mass,7.222837,968.0,227.398,15.0,0.12545,0.0,89.96,0.00742,4.2108,0.008074,27.592,0.44,2013,Transit,Kepler,0.95 m Kepler Telescope,6072.0,1.659,1.184,0.57542,4.07,4.07,0.365286,-0.03,,,1,2,0,396.379,282.4922622,43.9802442,18h49m58.14s,+43d58m48.88s,18.70795,73.49392,0.15565058408431,-0.7025434033283612,0.6944102981048139,0,0,1,0,1,11.693,10.109,11.2886,10.9149,TIC 123490545,Gaia DR3 2105318412166111232,,Super-Earth,Super-Earth,30.0,1.3k light-years,15.0 days,3.8 Earth masses,1.42 Earth radii,61.69662286875472,-278.4734516678925,275.249659552488,1292.81389124,False,False
Kepler-1245 b,b,Kepler-1245,1.44,0.1284682,2.67,0.00839,M-R relationship,4.91,1043.0,194.344,4.35409304,0.0484,0.0,85.65,0.02771,2.313,0.015706,14.53,0.1149,2016,Transit,Kepler,0.95 m Kepler Telescope,5306.0,0.83,0.86,-0.41093,4.55,4.57,3.05943,-0.01,,,1,2,0,805.936,290.7443078,43.260753,19h22m58.63s,+43d15m38.71s,12.91958,75.19259,0.2579420859530668,-0.6810307061458168,0.6853196754659177,0,0,1,0,0,15.582,13.519,15.3721,14.818,TIC 159449041,Gaia DR3 2126057774150666368,,Super-Earth,Lava World,30.0,2.6k light-years,4.4 days,2.7 Earth masses,1.44 Earth radii,207.88481298467084,-548.8671631883351,552.3237979662998,2628.60862016,False,False
Kepler-1068 b,b,Kepler-1068,3.63,0.32384691,12.8,0.0403,M-R relationship,1.47,702.0,55.933,16.92344113,0.13038,0.0,88.93,0.11253,4.0618,0.032808,32.879,0.006,2016,Transit,Kepler,0.95 m Kepler Telescope,5806.0,1.01,1.01,-0.02521,4.43,4.17,1.09,0.03,,,1,1,0,1473.61,294.6481708,46.3923173,19h38m35.56s,+46d23m32.34s,11.81541,79.31892,0.2876429283535257,-0.626873663567387,0.7240793849391176,0,0,1,0,0,16.096,14.161,15.8316,15.3229,TIC 271165395,Gaia DR3 2128129876831370880,,Sub-Neptune,Mini-Neptune,0.0,4.8k light-years,16.9 days,13 Earth masses,3.6 Earth radii,423.8734956510389,-923.7672993695372,1067.010622440133,4806.267431599999,False,False
Kepler-311 c,c,Kepler-311,1.43,0.128,2.63,0.00829,M-R relationship,4.94,744.0,72.456,19.738286,0.145,0.0,88.06,0.01681,4.86,0.01315,14.1,0.42,2014,Transit,Kepler,0.95 m Kepler Telescope,5905.0,1.188,0.994,0.19328,4.308,1.95,0.69,-0.03,,,1,3,0,778.654,282.0612731,47.0854984,18h48m14.71s,+47d05m07.79s,20.02263,76.49308,0.1422805501487522,-0.6658750424258365,0.7323705844200454,0,0,1,0,0,13.902,12.418,13.7537,13.3373,TIC 351898154,Gaia DR3 2119534646538533888,,Super-Earth,Super-Earth,30.0,2.5k light-years,19.7 days,2.6 Earth masses,1.43 Earth radii,110.7873194955265,-518.4862652850474,570.263285041006,2539.62674024,False,False
Kepler-150 e,e,Kepler-150,3.12,0.278,9.91,0.0312,M-R relationship,1.79,544.0,19.671,30.826557,0.189,0.0,86.76,0.07759,5.455,0.02578,16.69,0.93,2014,Transit,Kepler,0.95 m Kepler Telescope,5560.0,0.939,0.956,-0.16141,4.466,1.74,1.39,0.12,,,1,5,0,891.092,288.2341025,40.520897,19h12m56.18s,+40d31m15.23s,13.46754,71.83343,0.2378571133884705,-0.7219979045855393,0.6497253414979248,0,0,1,0,0,15.161,13.367,14.9743,14.4746,TIC 121598758,Gaia DR3 2102063136195478656,,Sub-Neptune,Mini-Neptune,0.0,2.9k light-years,1.0 months,9.9 Earth masses,3.1 Earth radii,211.95257088355893,-643.3665567929373,578.9650540060688,2906.35002352,False,False
